Gene	W19C	W20C	W21C	W22C	W23C	W24C	W25C	W26C	W28C	W31C	W32C	W34C	W35C	W36C	W37C	W38C	W39C	W40C	W41C	W19F	W20F	W21F	W22F	W23F	W24F	W25F	W26F	W28F	W31F	W32F	W34F	W35F	W36F	W37F	W38F	W39F	W40F	W41F
MA_17102g0010	-1.475795777	-1.105567068	-1.475795777	-1.149273558	-1.475795777	-0.383337298	0.775183322	0.590891178	1.496959829	0.527571884	1.584148136	1.259221153	1.250279687	0.136121051	0.274452526	0.040215763	-0.369026447	-0.026731977	0.374971546	-1.475795777	-0.633503204	-1.140837057	0.090278169	-1.475795777	0.359293788	0.802557346	0.366153276	1.200553044	1.439165135	1.910087093	0.683137181	-0.710764329	-0.373496168	-0.269909386	0.538954974	-1.475795777	0.015147958	-0.698122883
MA_17777g0010	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	3.000198767	3.599383926	-0.288101918	3.483984453	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918	-0.288101918
MA_178397g0010	-0.647508912	-0.175165495	-0.066041201	0.185496615	1.474884495	0.300293645	-0.159014179	1.53342243	0.853542877	1.064373422	0.730531199	0.641058483	1.374194403	1.24931606	0.808726832	1.511457148	0.947644012	0.65477482	-0.110145516	-1.72900595	-1.302300644	-1.299162231	-0.647052575	-2.380965058	-1.177997775	-0.881275738	0.005657547	0.111036392	0.19202755	0.269983237	-0.113310309	-0.630698483	0.068531014	-1.761422839	0.366233509	-0.397903947	0.6645344	-1.528749237
MA_178981g0010	-0.459079746	0.135695092	0.000510279	0.437230501	1.272348226	0.152695025	-0.091103348	1.123894945	0.749109959	0.78245071	0.591150698	0.407074811	1.416657242	1.21820005	0.707416985	1.529427178	0.890218015	0.749787485	0.513134676	-1.689638592	-1.424675354	-1.262142645	-0.560685128	-2.550928077	-1.220463173	-1.142839137	-0.114041681	0.039197815	0.144120942	0.520585308	-0.561977077	-0.430906794	-0.245662489	-1.857103359	0.653984224	-0.312492316	1.186530793	-1.297682043
MA_18013g0010	2.290255552	1.172157132	0.713439656	0.406409448	-0.487828319	0.607528153	-0.44857083	-0.173716285	-0.195383012	0.674047562	-0.846727088	-0.846727088	-0.299511208	-0.846727088	-0.846727088	-0.555292005	-0.366916554	-0.448534143	-0.49487071	2.590992739	-0.10453484	0.557659288	0.409745503	0.646437277	3.541381413	-0.846727088	-0.144823873	-0.627342569	-0.609195135	-0.644568324	-0.846727088	-0.488230306	-0.846727088	-0.312128506	-0.576793155	-0.166657532	-0.56382243	0.025755628
MA_180850g0010	0.280973397	-0.544368274	-0.544368274	-0.305547237	-0.285357242	0.254418155	0.345603832	0.054886731	1.467526331	2.365118245	-0.544368274	-0.544368274	-0.242949757	-0.544368274	-0.200574457	-0.544368274	-0.18629802	-0.544368274	-0.544368274	2.817478161	-0.255593476	0.000768874	-0.267232702	-0.193113812	3.824969926	-0.544368274	-0.544368274	0.718451111	-0.544368274	-0.544368274	-0.544368274	-0.544368274	-0.256114089	-0.544368274	-0.544368274	-0.544368274	-0.138785041	-0.544368274
MA_181386g0010	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	6.002192582	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421	-0.162221421
MA_185837g0010	0.056828263	-0.131594423	-0.245498753	-0.87680431	-0.357109769	-0.473906367	-0.156293742	-0.953087271	1.22532739	-0.255842215	-0.18147432	-0.60818373	-0.667607474	-0.314430256	-0.445866312	0.748240906	0.745706405	1.656405792	2.535379961	0.154712393	-0.404974651	-0.508343572	-0.539161824	-0.564659225	1.373613996	-0.885477572	-1.131813221	-1.011625784	-1.188692122	-0.881016364	-0.6008873	-0.338702019	-0.250627004	0.113903979	-0.274027948	0.924719547	1.62946754	3.083401375
MA_188016g0010	-0.116693065	-0.562127729	-1.250733053	0.05125279	0.205650999	0.642767692	0.371339834	1.768932464	1.491220538	0.363818659	0.649900256	0.939661754	-0.46187949	0.057907409	-0.144404432	-0.549729798	-0.75672141	-0.693436859	-0.845729696	-0.756861531	-0.593219222	-0.648882989	0.423528976	-0.599526808	-0.122070631	0.642529146	2.553296558	1.542793897	1.652740633	1.521113301	0.578035531	-0.523632998	-1.061757465	-1.042928232	-0.564226605	-1.021942886	-1.432126555	-1.707858981
MA_194437g0010	1.392534653	0.568365155	0.169516892	0.520378444	-0.740084119	-1.337506771	-1.089859762	-0.937116998	-1.648647856	-0.635373403	-0.1114732	-0.575301096	0.031019488	-0.321402729	0.868992966	-0.204076979	0.512002937	1.870398788	1.891453815	0.563701767	1.103608488	0.527879397	0.229655944	0.174215781	-0.675028501	-0.641064577	-1.744824522	-1.270987452	-1.568109398	-0.798723571	-0.411346045	-0.401404447	0.549998936	1.406763537	-0.697549299	0.996325288	1.832779297	0.600289152
MA_199290g0010	-0.690169622	0.034216458	-0.676538034	-0.232348834	0.020483342	1.109872686	0.813531017	0.243153667	2.498028483	1.589295503	0.311967075	-0.180406358	0.056283676	-0.197394512	0.55386172	-0.004393182	-0.465774419	-1.207243053	-1.120710748	0.058360076	-0.094338574	0.003164528	0.393487106	-0.083189193	3.358601361	0.989934261	0.837774765	0.425572854	-0.796562079	-0.309882761	0.018732053	-1.108094912	-0.635173604	-1.141566822	-1.018728564	-1.080520318	-0.901484643	-1.371800397
